0,1,2,3,4,5
0.011181243,3.277942e-06,0.9851597,0.003240734,0.00030729143,0.00010768175
0.004312089,2.6110902e-05,0.93848735,0.05202598,0.00082836056,0.0043201633
0.0027575367,0.0001449821,0.75973207,0.20182586,0.00234081,0.03319886
0.0021722203,0.0003882922,0.58910394,0.31608403,0.003366848,0.08888463
0.006467877,0.000758844,0.6542765,0.2271477,0.007912787,0.10343636
0.04093516,0.0012688447,0.81393236,0.09144033,0.015209665,0.03721369
0.060436744,0.0005694715,0.88235515,0.041452512,0.006288075,0.008898002
0.023628147,0.0008868606,0.7371567,0.18493687,0.006128662,0.047262754
0.0025075013,0.0018114122,0.15367208,0.42936176,0.008736113,0.40391108
0.0017752126,0.001695611,0.10086181,0.5314076,0.0067893625,0.3574705
0.001842107,0.0029746126,0.08689925,0.47141418,0.009817231,0.42705265
0.001514715,0.002252456,0.039046224,0.49427098,0.010326761,0.4525889
0.0011770859,0.0014188498,0.0295984,0.43829015,0.01087004,0.5186454
0.0023678918,0.0025367578,0.013174145,0.17297342,0.027325379,0.7816224
0.003089068,0.002087456,0.0109241735,0.12579511,0.036210034,0.8218941
0.0057522976,0.0040162257,0.016170148,0.15726377,0.03874726,0.77805024
0.004324331,0.007854978,0.039684486,0.2967805,0.033990346,0.61736536
0.006949006,0.009990442,0.08906864,0.46558195,0.018275814,0.4101341
0.009733649,0.0002635379,0.9014758,0.0673796,0.0030917737,0.018055711
0.003916796,3.4358807e-05,0.9749765,0.018848255,0.00041443744,0.0018096844
0.0027184985,0.00012208552,0.881697,0.08963524,0.0017798303,0.024047278
0.0026387356,9.166751e-05,0.909873,0.0761124,0.0014311123,0.009853114
0.0025348102,3.3825956e-05,0.9713169,0.022811292,0.0005479546,0.002755264
0.0043568234,1.4803919e-05,0.98791075,0.0069119055,0.00026696184,0.0005386327
0.0015489007,1.110474e-05,0.9747986,0.02050361,0.00034370596,0.0027940315
0.001432609,1.3005497e-05,0.97642785,0.019554703,0.00028176,0.0022900845
0.0024484198,1.6834138e-05,0.97888196,0.016480356,0.00039615386,0.0017762819
0.0032422126,1.7771434e-05,0.9824025,0.012553261,0.0003279916,0.0014561203
0.0034561877,2.1916527e-05,0.9785442,0.015883794,0.0003469301,0.0017471132
0.0014869841,2.4954526e-05,0.9660109,0.02904537,0.00039720163,0.0030346727
0.0019006343,3.3448097e-05,0.96601236,0.027367854,0.0005909613,0.0040946975
0.0013236029,2.1834885e-05,0.9435294,0.047772966,0.0006811137,0.0066708713
0.0011584521,3.470572e-05,0.90459913,0.08506426,0.0009130735,0.008230547
0.00245691,0.00012865665,0.8162947,0.15866491,0.001648462,0.020806434
0.0017963294,0.000108686014,0.8784648,0.10127908,0.0012144655,0.017136658
0.0014943207,0.0002154339,0.75341016,0.20017944,0.0015832643,0.04311739
0.0013232896,0.00010122885,0.90126735,0.08188516,0.00096830603,0.014454533
0.002666519,4.3703953e-05,0.95420176,0.036652535,0.00075003615,0.005685393
0.0025428392,9.0162874e-05,0.8727543,0.10890164,0.0012222099,0.0144890295
0.0020612804,8.0761056e-05,0.91066957,0.07602896,0.0009550185,0.010204399
0.0023475413,0.00017884838,0.84710157,0.12715006,0.0016070264,0.021615019
0.0028445292,0.00052523345,0.5607889,0.35927603,0.003981209,0.072584
0.0030105514,0.001232706,0.4214076,0.4161711,0.007091924,0.15108615
